dataset,noise,trial,algorithm,accuracy,frobenius,gt_frobenius,time_sec,,
multimanga,15,1,QAP_init,0.648406,3742,2402,478.17,,
multimanga,15,2,Fugal,0.630478,3970,2626,64.68,,
multimanga,15,2,Fugal_init,0.621514,4110,2626,557.21,,
multimanga,15,2,QAP,0.355578,6142,2626,3.14,,
multimanga,15,2,QAP_init,0.611554,4026,2626,491.38,,
multimanga,20,0,Fugal,0.62251,4416,3204,64.73,,
multimanga,20,0,Fugal_init,0.601594,4588,3204,545.79,,
multimanga,20,0,QAP,0.296813,6992,3204,3.07,,
multimanga,20,0,QAP_init,0.582669,5704,3204,481.24,,
multimanga,20,1,Fugal,0.660359,4148,3288,66.11,,
multimanga,20,1,Fugal_init,0.613546,4776,3288,638.55,,
multimanga,20,1,QAP,0.345618,6212,3288,3.76,,
multimanga,20,1,QAP_init,0.547809,5980,3288,489.09,,
multimanga,20,2,Fugal,0.615538,4602,3358,64.59,,
multimanga,20,2,Fugal_init,0.608566,4726,3358,556.11,,
multimanga,20,2,QAP,0.293825,6658,3358,2.9,,
multimanga,20,2,QAP_init,0.571713,5182,3358,492.46,,
,,,,,,,,,
,,,,,,,,,
